wangge,GEP,true,bayes
1768.9164,1768.1865,1749.4,1743.7052
1799.7661,1755.2473,1761.8,1815.2703
1779.964,1756.5859,1776.0,1816.949
1770.6267,1767.8127,1776.7,1802.6581
1770.985,1772.3145,1747.7,1790.949
1752.6858,1743.9451,1749.7,1768.6317
1743.0356,1743.5072,1750.0,1751.5977
1744.7277,1747.0497,1735.8,1746.1561
1734.268,1730.5566,1721.5,1735.6594
1728.0809,1725.2623,1755.3,1729.2103
1737.4731,1743.3811,1757.0,1735.7174
1752.7036,1754.2809,1766.2,1749.2567
1761.5981,1758.8156,1759.6,1760.2322
1759.7988,1753.1998,1760.5,1761.9557
1755.7578,1751.3956,1757.9,1759.0396
1756.1582,1753.7251,1756.3,1757.7588
1758.9757,1757.5205,1754.6,1759.4952
1754.5938,1749.327,1758.3,1756.0283
1754.5466,1753.5018,1793.7,1755.0918
1771.6025,1778.5328,1796.7,1767.9419
1791.1615,1791.8254,1767.2,1785.7927
1782.542,1768.7767,1764.8,1784.5549
1764.4631,1756.1447,1769.7,1770.339
1768.4003,1770.3245,1784.1,1768.6294
1775.2743,1775.6179,1781.2,1772.545
1779.8491,1777.0846,1795.5,1776.9661
1789.2382,1789.6682,1806.0,1785.792
1797.3438,1795.9485,1792.7,1794.3085
1797.1626,1790.0002,1797.9,1796.448
1792.3336,1787.5557,1801.6,1792.9966
1794.9442,1794.1119,1783.0,1793.6549
1785.0438,1776.1453,1795.1,1786.1492
1786.0001,1786.0612,1788.7,1784.4965
1786.8885,1783.451,1763.6,1784.4369
1766.7876,1754.6499,1793.0,1769.3507
1778.0483,1785.376,1816.4,1774.13
1799.2849,1803.7085,1827.4,1791.4054
1817.7739,1817.5154,1830.2,1810.317
1824.6018,1819.2446,1847.6,1820.9786
1834.3422,1834.7831,1863.2,1831.863
1850.3251,1851.2905,1867.9,1845.983
1854.1399,1848.9586,1866.1,1852.117
1857.0999,1853.4165,1853.6,1855.5403
1847.6892,1838.9078,1869.7,1848.8973
1854.6023,1856.284,1861.0,1851.8973
1853.2648,1847.1235,1851.2,1851.0084
1844.9495,1837.519,1806.0,1844.4137
1820.2222,1803.8447,1783.5,1824.486
1787.3389,1774.5735,1784.1,1793.786
1779.7327,1780.3452,1791.4,1778.7172
1784.8907,1785.9678,1785.3,1777.862
1780.2811,1786.3427,1782.3,1769.2653
1794.3988,1784.9915,1773.6,1788.3992
1790.818,1781.9138,1781.6,1793.2526
1780.3678,1775.5408,1760.7,1786.5936
1767.226,1760.4451,1782.0,1773.858
1767.8649,1770.6262,1777.5,1769.8124
1773.315,1772.4976,1782.6,1771.8447
1776.0406,1773.4773,1783.4,1774.3658
1781.2086,1778.801,1774.6,1778.9146
1776.7615,1769.5522,1782.9,1776.8508
1774.7025,1772.4983,1786.3,1774.7656
1780.9425,1780.4856,1770.4,1778.4368
1776.8445,1769.0071,1762.6,1776.4286
1765.4622,1765.7327,1796.6,1740.5901
1826.6726,1794.6821,1803.8,1834.5216
1827.7957,1805.2969,1793.7,1856.9242
1803.2852,1787.7802,1787.9,1837.3114
1786.5574,1783.2607,1801.6,1811.6864
1784.9548,1789.5845,1811.2,1797.3896
1796.7853,1801.9353,1808.1,1798.355
1802.9374,1801.3632,1810.2,1801.4803
1805.9087,1803.3723,1805.1,1804.2388
1798.0197,1791.3596,1812.7,1798.7805
1800.1206,1800.5096,1827.5,1798.7618
1816.883,1819.88,1799.4,1810.7285
1812.0992,1800.212,1814.0,1810.7126
1804.0509,1799.8884,1824.6,1804.7832
1811.2563,1813.2886,1788.7,1808.0913
1789.6707,1775.5898,1797.0,1792.3359
1786.4274,1786.8134,1798.4,1785.614
1790.1865,1789.0287,1818.6,1786.1606
1805.4119,1808.5787,1827.2,1798.2231
1818.0508,1816.4998,1821.2,1811.3254
1817.7916,1810.4283,1816.5,1815.155
1815.3766,1809.5283,1812.3,1814.4558
1811.1311,1805.4457,1843.1,1810.7993
1821.824,1825.8507,1842.5,1817.7877
1833.8435,1832.3942,1831.8,1828.0969
1831.35,1823.0974,1841.7,1829.2227
1833.2112,1830.6897,1852.7,1830.8896
1839.6205,1838.677,1829.9,1835.9105
1827.1458,1816.1627,1793.3,1827.5751
1790.1119,1784.6003,1784.9,1791.63
1791.9984,1783.4324,1795.0,1792.3119
1794.4144,1791.8984,1800.3,1794.7075
1797.2362,1796.4283,1809.2,1797.3142
1797.8469,1796.318,1803.0,1798.2944
1795.4609,1790.6156,1806.6,1796.5092
1797.6326,1795.6144,1820.6,1797.272
1807.9646,1808.8694,1826.6,1804.64
1815.9938,1813.9229,1835.2,1812.3684
1824.0995,1822.6373,1836.2,1820.4216
1827.3892,1823.05,1840.8,1825.0841
1830.5969,1829.2344,1868.0,1829.2686
1851.8486,1856.4282,1854.8,1845.4987
1856.4492,1848.5188,1870.2,1853.1731
1856.2142,1852.6355,1900.7,1855.0063
1874.4673,1880.7378,1898.6,1869.0037
1885.5677,1882.4156,1906.1,1880.417
1892.1165,1888.6091,1909.2,1888.6635
1891.6877,1887.2708,1925.1,1890.7532
1911.1536,1917.8802,1886.5,1906.7563
1891.86,1873.4553,1899.4,1896.2856
1895.3228,1894.8977,1942.4,1895.8959
1906.7247,1911.7063,1920.9,1903.5594
1916.7874,1913.1212,1934.4,1912.7378
1917.9795,1913.9978,1965.1,1916.2866
1931.992,1937.396,1993.9,1928.2964
1960.5264,1967.8279,2040.1,1952.5634
1995.6698,2008.4117,1985.9,1986.6251
1995.6304,1979.9728,1998.1,1996.9207
1971.9645,1961.026,1982.7,1983.8328
1957.3701,1951.6942,1959.6,1969.411
1946.377,1939.7109,1928.5,1955.8569
1916.4828,1900.4207,1908.0,1928.7233
1899.6116,1893.0762,1942.1,1907.46
1917.1245,1925.9382,1928.2,1913.1362
1898.2131,1924.9385,1928.6,1842.2668
1967.4447,1928.3486,1920.7,1960.5509
1940.7308,1907.1877,1936.6,1967.8391
1926.2852,1920.414,1961.6,1954.3306
1936.9558,1944.1753,1953.8,1952.5892
1932.4885,1929.4414,1939.6,1944.5366
1917.7021,1912.1235,1912.0,1929.421
1890.9141,1890.0754,1933.5,1901.8616
1909.9801,1915.4658,1949.2,1910.9987
1924.1808,1925.4537,1919.1,1922.1659
1915.8987,1904.6863,1929.2,1918.9233
1909.8774,1906.1578,1922.9,1913.9686
1910.0999,1907.1371,1918.4,1912.416
1905.682,1900.1373,1933.8,1908.0198
1909.6465,1909.7892,1941.6,1909.2302
1918.8828,1919.2406,1944.3,1916.0684
1931.3163,1930.8391,1972.1,1927.3247
1943.281,1944.4309,1981.0,1939.5157
1954.2488,1953.9807,1970.9,1951.1316
1953.3807,1946.1733,1982.9,1954.0789
1958.674,1958.6711,1955.7,1959.5635
1945.8624,1933.0564,1952.3,1951.6022
1932.2389,1925.4457,1944.9,1939.1569
1925.7872,1921.6229,1931.0,1930.0803
1922.7693,1916.8964,1893.2,1924.6414
1898.3472,1880.5786,1901.4,1904.7498
1887.8903,1884.5454,1885.9,1891.0659
1880.0615,1873.5532,1888.7,1880.4785
1874.2837,1869.8306,1909.3,1872.9281
1892.3453,1897.6943,1861.8,1884.3455
1872.8833,1852.4369,1868.8,1873.4434
1860.762,1855.3914,1867.0,1861.6907
1857.5339,1854.1461,1874.0,1855.5259
1873.3479,1874.7646,1881.2,1865.899
1872.2134,1865.3231,1857.1,1868.0374
1856.4568,1844.3381,1839.9,1857.3164
1835.4191,1825.3671,1852.6,1838.4489
1836.6389,1838.5684,1823.8,1833.8583
1830.7656,1821.2932,1807.4,1828.0823
1813.3257,1801.9487,1813.5,1813.603
1797.3367,1793.088,1818.2,1797.9731
1811.8671,1816.6294,1815.9,1804.3347
1811.2361,1804.2131,1841.2,1805.776
1819.967,1822.4574,1841.8,1813.9828
1833.2617,1832.0422,1847.8,1826.2708
1844.3905,1841.9879,1865.1,1838.5488
1852.3816,1850.0992,1847.4,1848.0801
1839.684,1838.7053,1851.3,1837.7913
1848.9355,1845.3586,1842.7,1846.7632
1846.1593,1837.5719,1843.3,1847.4514
1833.1079,1826.4495,1866.5,1837.5903
1842.8523,1848.416,1845.4,1841.7102
1847.2988,1841.4998,1839.2,1845.4114
1838.6123,1829.8776,1847.5,1839.6055
1834.1687,1831.7446,1851.9,1834.3885
1839.1483,1838.9862,1848.8,1836.0726
1838.6422,1833.6873,1871.5,1835.7605
1844.0092,1845.2672,1828.0,1840.3491
1841.0684,1829.5656,1809.5,1839.6572
1814.8231,1799.6321,1815.3,1819.4723
1810.926,1812.3562,1845.7,1810.9509
1822.6338,1828.1206,1835.6,1816.8335
1836.1168,1833.9347,1834.6,1828.3673
1831.7664,1823.4353,1834.3,1828.6184
1819.5189,1831.6176,1825.7,1781.994
1875.0088,1833.4404,1826.5,1879.7897
1848.0629,1816.3037,1820.9,1881.9303
1826.3224,1816.5646,1817.5,1859.4392
1813.166,1810.897,1813.7,1835.6364
1808.0768,1808.9884,1798.9,1819.6918
1791.8379,1786.6578,1798.9,1799.7235
1789.0911,1790.9929,1734.9,1790.4297
1751.1359,1732.2565,1737.9,1758.7665
1735.3906,1736.1793,1740.6,1737.5087
1734.6522,1736.687,1730.0,1731.0725
1731.3695,1728.164,1723.3,1727.6857
1728.7352,1725.0824,1734.2,1726.3358
1722.9614,1720.956,1704.5,1723.1583
1709.6565,1702.1093,1702.4,1712.8064
1704.249,1702.3647,1709.2,1706.4884
1709.4331,1709.7681,1710.0,1709.183
1711.6608,1708.7941,1699.5,1712.4144
1706.2051,1700.0974,1712.7,1710.06
1699.7565,1698.632,1727.1,1705.4458
1717.9441,1724.71,1719.0,1718.2078
1725.5734,1720.9366,1717.7,1727.4587
1720.9277,1714.564,1719.1,1726.2798
1712.9562,1721.6514,1750.3,1713.6685
1742.8342,1747.9347,1762.9,1740.0352
1764.0547,1762.0667,1769.0,1765.1904
1768.2085,1763.6584,1771.1,1774.9403
1769.4872,1766.9358,1758.0,1777.436
1757.5516,1750.5443,1788.5,1767.1946
1770.0361,1777.386,1772.9,1772.1195
1774.8693,1769.9999,1786.8,1775.6652
1775.7452,1774.1519,1794.0,1776.6321
1786.4288,1787.7194,1795.6,1784.2615
1793.8522,1790.6193,1789.7,1791.55
1789.3152,1782.2793,1798.6,1789.8073
1788.4225,1786.8717,1781.4,1788.5563
1784.8022,1778.4778,1773.2,1785.1499
1773.2513,1766.1195,1760.3,1774.9773
1762.4387,1756.905,1755.3,1763.7764
1755.6531,1752.1024,1747.6,1755.3792
1749.0049,1744.7297,1734.0,1748.1365
1735.4878,1728.4865,1746.8,1736.4467
1737.8182,1740.0449,1747.8,1735.6736
1745.0972,1744.6108,1757.7,1741.5256
1757.2079,1756.6785,1736.1,1753.0765
1748.2351,1736.9866,1736.6,1750.2883
1736.445,1731.3126,1723.2,1740.7119
1728.5121,1724.0802,1712.8,1731.9064
1715.3512,1709.7812,1696.6,1719.1152
1701.6029,1696.3916,1709.8,1705.3816
1704.9998,1708.4504,1709.8,1704.7684
1707.9976,1706.9889,1715.3,1707.831
1706.4921,1704.8712,1708.0,1708.7882
1711.8855,1710.4216,1716.2,1713.8014
1717.5455,1715.4735,1728.1,1719.7212
1727.6321,1727.2935,1705.0,1729.0183
1714.9122,1703.6427,1696.5,1722.1329
1699.9602,1694.6505,1665.4,1708.3538
1676.3475,1667.5165,1671.7,1686.0525
1662.9777,1663.9568,1666.2,1669.4878
1661.8679,1664.1923,1659.7,1664.4607
1660.5526,1659.6191,1664.6,1663.1841
1668.6984,1670.656,1670.8,1671.3845
1672.5327,1670.1837,1645.3,1677.964
1674.3353,1653.1062,1645.3,1670.3716
1690.2986,1655.0997,1623.3,1714.997
1648.2605,1621.5377,1626.7,1694.5027
1632.7837,1633.7418,1660.4,1671.2323
1635.7754,1648.2203,1658.5,1660.2887
1652.056,1657.8057,1662.4,1666.7279
1665.2318,1666.3585,1692.9,1677.6547
1680.8563,1685.4451,1721.1,1692.5283
1709.4824,1716.5408,1711.4,1717.4285
1719.042,1712.936,1711.7,1729.63
1718.2985,1712.8984,1700.5,1730.295
1705.413,1697.9962,1667.3,1718.4718
1681.4762,1672.086,1678.7,1695.3406
1667.6918,1669.6885,1670.3,1676.7942
1666.824,1669.55,1670.0,1670.4447
1664.8112,1663.5328,1641.7,1668.4042
1655.3647,1649.3491,1657.0,1662.3147
1653.0679,1654.2856,1649.0,1659.7484
1652.4829,1651.4916,1627.5,1659.3954
1637.1685,1629.7375,1630.8,1647.9629
1630.1929,1631.3619,1651.0,1640.0868
1641.5442,1647.8976,1648.7,1648.0264
1656.5452,1656.7162,1652.8,1663.4026
1653.3136,1647.6779,1664.0,1665.7244
1658.9692,1661.0022,1660.7,1670.9113
1662.9736,1661.3643,1639.6,1674.3486
1654.0052,1646.3677,1635.9,1668.1655
1640.8942,1636.6791,1645.0,1655.2705
1639.2107,1642.6414,1645.7,1649.941
1647.4019,1649.9272,1627.3,1655.6017
1630.7998,1622.2213,1672.5,1643.9166
1647.3594,1660.3237,1676.5,1655.4893
1675.0999,1679.238,1712.1,1680.2759
1708.3783,1712.809,1710.1,1712.8944
1716.9675,1709.9883,1750.3,1727.6223
1729.6565,1733.3263,1766.0,1740.0099
1759.2727,1764.0338,1773.6,1762.7594
1768.8092,1764.1934,1773.8,1773.8644
1771.4254,1767.1703,1773.0,1776.9906
